Sample in Buffer,Sample in Window,TRIGGER,i_core_v_mcu/i_soc_domain/fc_subsystem_i/lFC_CORE/instr_rdata_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,e7b74405
1,1,0,80a31c07
2,2,0,40b2b581
3,3,0,44924422
4,4,0,01414902
5,5,0,11018082
6,6,0,00000000
7,7,0,ce06ca26
8,8,0,00000000
9,9,0,078547b2
10,10,0,47b2c63e
11,11,0,fcf478e3
12,12,0,00000000
13,13,0,00000000
14,14,0,f819c783
15,15,0,00000000
16,16,0,0828e789
17,17,0,00000000
18,18,0,074a2783
19,19,0,01578863
20,20,0,1c0087b7
21,21,0,08078793
22,22,0,00000000
23,23,0,00000000
24,24,0,00000000
25,25,0,00000000
26,26,0,00000000
27,27,0,f6a4c783
28,28,0,f0efe399
29,29,0,4783e46f
30,30,0,e399f689
31,31,0,00000000
32,32,0,d4227179
33,33,0,1c07e437
34,34,0,f8044783
35,35,0,00000000
36,36,0,d226d606
37,37,0,ce4ed04a
38,38,0,000107a3
39,39,0,00000000
40,40,0,6c634719
41,41,0,00000000
42,42,0,173704f7
43,43,0,078a1a00
44,44,0,09470713
45,45,0,439c97ba
46,46,0,00000000
47,47,0,f8040413
48,48,0,00f10613
49,49,0,00000000
50,50,0,45014585
51,51,0,00000000
52,52,0,00ef8782
53,53,0,47854e50
54,54,0,00000000
55,55,0,00ef8782
56,56,0,47854e50
57,57,0,02f51963
58,58,0,27b7bfc5
59,59,0,87930034
60,60,0,953e0417
61,61,0,591c051e
62,62,0,c7998b85
63,63,0,00000000
64,64,0,03454783
65,65,0,00000000
66,66,0,00234505
67,67,0,00000000
68,68,0,00000000
69,69,0,00000000
70,70,0,00000000
71,71,0,80824501
72,72,0,ca09832a
73,73,0,00058383
74,74,0,47854e50
75,75,0,02f51963
76,76,0,00f14703
77,77,0,05300793
78,78,0,50b2f6e7
79,79,0,54925422
80,80,0,49f25902
81,81,0,80826145
82,82,0,00000000
83,83,0,49f000ef
84,84,0,00000000
85,85,0,16e34785
86,86,0,4783e46f
87,87,0,e399f689
88,88,0,d24ff0ef
89,89,0,078547b2
90,90,0,00000000
91,91,0,00000000
92,92,0,c6061141
93,93,0,c226c422
94,94,0,00efc04a
95,95,0,00000000
96,96,0,c55177a0
97,97,0,00000000
98,98,0,e7b74405
99,99,0,1a1077b7
100,100,0,751343e8
101,101,0,80820ff5
102,102,0,1a1077b7
103,103,0,8082c7a8
104,104,0,00000000
105,105,0,00000000
106,106,0,00000000
107,107,0,00000000
108,108,0,c55177a0
109,109,0,e7b74405
110,110,0,80a31c07
111,111,0,40b2b581
112,112,0,44924422
113,113,0,01414902
114,114,0,11018082
115,115,0,00000000
116,116,0,ce06ca26
117,117,0,00000000
118,118,0,078547b2
119,119,0,47b2c63e
120,120,0,fcf478e3
121,121,0,00000000
122,122,0,00000000
123,123,0,f819c783
124,124,0,00000000
125,125,0,0828e789
126,126,0,00000000
127,127,0,074a2783
128,128,0,01578863
129,129,0,1c0087b7
130,130,0,08078793
131,131,0,00000000
132,132,0,00000000
133,133,0,00000000
134,134,0,00000000
135,135,0,00000000
136,136,0,f6a4c783
137,137,0,f0efe399
138,138,0,4783e46f
139,139,0,e399f689
140,140,0,00000000
141,141,0,d4227179
142,142,0,1c07e437
143,143,0,f8044783
144,144,0,00000000
145,145,0,d226d606
146,146,0,ce4ed04a
147,147,0,000107a3
148,148,0,00000000
149,149,0,6c634719
150,150,0,00000000
151,151,0,173704f7
152,152,0,078a1a00
153,153,0,09470713
154,154,0,439c97ba
155,155,0,00000000
156,156,0,f8040413
157,157,0,00f10613
158,158,0,00000000
159,159,0,45014585
160,160,0,00000000
161,161,0,00ef8782
162,162,0,47854e50
163,163,0,00000000
164,164,0,00ef8782
165,165,0,47854e50
166,166,0,02f51963
167,167,0,27b7bfc5
168,168,0,87930034
169,169,0,953e0417
170,170,0,591c051e
171,171,0,c7998b85
172,172,0,00000000
173,173,0,03454783
174,174,0,00000000
175,175,0,00234505
176,176,0,00000000
177,177,0,00000000
178,178,0,00000000
179,179,0,00000000
180,180,0,80824501
181,181,0,ca09832a
182,182,0,00058383
183,183,0,47854e50
184,184,0,02f51963
185,185,0,00f14703
186,186,0,05300793
187,187,0,50b2f6e7
188,188,0,54925422
189,189,0,49f25902
190,190,0,80826145
191,191,0,00000000
192,192,0,49f000ef
193,193,0,00000000
194,194,0,16e34785
195,195,0,4783e46f
196,196,0,e399f689
197,197,0,d24ff0ef
198,198,0,078547b2
199,199,0,00000000
200,200,0,00000000
201,201,0,c6061141
202,202,0,c226c422
203,203,0,00efc04a
204,204,0,00000000
205,205,0,c55177a0
206,206,0,00000000
207,207,0,e7b74405
208,208,0,1a1077b7
209,209,0,751343e8
210,210,0,80820ff5
211,211,0,1a1077b7
212,212,0,8082c7a8
213,213,0,00000000
214,214,0,00000000
215,215,0,00000000
216,216,0,00000000
217,217,0,c55177a0
218,218,0,e7b74405
219,219,0,80a31c07
220,220,0,40b2b581
221,221,0,44924422
222,222,0,01414902
223,223,0,11018082
224,224,0,00000000
225,225,0,ce06ca26
226,226,0,00000000
227,227,0,078547b2
228,228,0,47b2c63e
229,229,0,fcf478e3
230,230,0,00000000
231,231,0,00000000
232,232,0,f819c783
233,233,0,00000000
234,234,0,0828e789
235,235,0,00000000
236,236,0,074a2783
237,237,0,01578863
238,238,0,1c0087b7
239,239,0,08078793
240,240,0,00000000
241,241,0,00000000
242,242,0,00000000
243,243,0,00000000
244,244,0,00000000
245,245,0,f6a4c783
246,246,0,f0efe399
247,247,0,4783e46f
248,248,0,e399f689
249,249,0,00000000
250,250,0,d4227179
251,251,0,1c07e437
252,252,0,f8044783
253,253,0,00000000
254,254,0,d226d606
255,255,0,ce4ed04a
256,256,0,000107a3
257,257,0,00000000
258,258,0,6c634719
259,259,0,00000000
260,260,0,173704f7
261,261,0,078a1a00
262,262,0,09470713
263,263,0,439c97ba
264,264,0,00000000
265,265,0,f8040413
266,266,0,00f10613
267,267,0,00000000
268,268,0,45014585
269,269,0,00000000
270,270,0,00ef8782
271,271,0,47854e50
272,272,0,00000000
273,273,0,00ef8782
274,274,0,47854e50
275,275,0,02f51963
276,276,0,27b7bfc5
277,277,0,87930034
278,278,0,953e0417
279,279,0,591c051e
280,280,0,c7998b85
281,281,0,00000000
282,282,0,03454783
283,283,0,00000000
284,284,0,00234505
285,285,0,00000000
286,286,0,00000000
287,287,0,00000000
288,288,0,00000000
289,289,0,80824501
290,290,0,ca09832a
291,291,0,00058383
292,292,0,47854e50
293,293,0,02f51963
294,294,0,00f14703
295,295,0,05300793
296,296,0,50b2f6e7
297,297,0,54925422
298,298,0,49f25902
299,299,0,80826145
300,300,0,00000000
301,301,0,49f000ef
302,302,0,00000000
303,303,0,16e34785
304,304,0,4783e46f
305,305,0,e399f689
306,306,0,d24ff0ef
307,307,0,078547b2
308,308,0,00000000
309,309,0,00000000
310,310,0,c6061141
311,311,0,c226c422
312,312,0,00efc04a
313,313,0,00000000
314,314,0,c55177a0
315,315,0,00000000
