-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 11:46:38] |INIT| |0| |  | |  | |     0| csr_instr_asm                |      | |    6186| |  0x611c|
[2022-08-30 11:46:42] |INIT| |0| |  | |  | |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 11:46:47] |INIT| |0| |  | |  | |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 11:46:51] |INIT| |0| |  | |  | |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 11:46:55] |INIT| |0| |  | |  | |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 11:46:59] |INIT| |0| |  | |  | |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 11:47:04] | DIM| |0| | 6| |     0| csr_instr_asm                |      | |   18542| |  0x611c|
[2022-08-30 11:47:08] | DIM| |0| | 6| |     0| csr_instructions             |      | |   22603| |   0x388|
[2022-08-30 11:47:15] | DIM| |0| | 6| |     0| dhrystone                    |      | |  506546| |   0xb04|
[2022-08-30 11:47:20] | DIM| |0| | 6| |     0| fibonacci                    |      | |  180500| |   0x3e4|
[2022-08-30 11:47:24] | DIM| |0| | 6| |     0| hello-world                  |      | |   34984| |   0x420|
[2022-08-30 11:47:29] | DIM| |0| | 6| |     0| load_store_rs1_zero          |      | |     141| |   0x160|
[2022-08-30 11:47:41] | DIM| |0| | 7| |     0| csr_instr_asm                |      | |   12363| |  0x611c|
[2022-08-30 11:47:45] | DIM| |0| | 7| |     0| csr_instructions             |      | |   18078| |   0x388|
[2022-08-30 11:47:51] | DIM| |0| | 7| |     0| dhrystone                    |      | |  412272| |   0xb04|
[2022-08-30 11:47:56] | DIM| |0| | 7| |     0| fibonacci                    |      | |  142236| |   0x3e4|
[2022-08-30 11:48:00] | DIM| |0| | 7| |     0| hello-world                  |      | |   28164| |   0x420|
[2022-08-30 11:48:05] | DIM| |0| | 7| |     0| load_store_rs1_zero          |      | |     101| |   0x160|
[2022-08-30 11:48:17] | DIM| |0| | 8| |     0| csr_instr_asm                |      | |   10302| |  0x611c|
[2022-08-30 11:48:22] | DIM| |0| | 8| |     0| csr_instructions             |      | |   16377| |   0x388|
[2022-08-30 11:48:28] | DIM| |0| | 8| |     0| dhrystone                    |      | |  370048| |   0xb04|
[2022-08-30 11:48:33] | DIM| |0| | 8| |     0| fibonacci                    |      | |  121048| |   0x3e4|
[2022-08-30 11:48:38] | DIM| |0| | 8| |     0| hello-world                  |      | |   25219| |   0x420|
[2022-08-30 11:48:42] | DIM| |0| | 8| |     0| load_store_rs1_zero          |      | |      85| |   0x160|
[2022-08-30 11:48:55] | DIM| |0| | 9| |     0| csr_instr_asm                |      | |    9273| |  0x611c|
[2022-08-30 11:49:00] | DIM| |0| | 9| |     0| csr_instructions             |      | |   14709| |   0x388|
[2022-08-30 11:49:05] | DIM| |0| | 9| |     0| dhrystone                    |      | |  337540| |   0xb04|
[2022-08-30 11:49:10] | DIM| |0| | 9| |     0| fibonacci                    |      | |  110867| |   0x3e4|
[2022-08-30 11:49:14] | DIM| |0| | 9| |     0| hello-world                  |      | |   23189| |   0x420|
[2022-08-30 11:49:18] | DIM| |0| | 9| |     0| load_store_rs1_zero          |      | |      78| |   0x160|
[2022-08-30 11:49:28] | DIM| |0| |10| |     0| csr_instr_asm                |      | |    8656| |  0x611c|
[2022-08-30 11:49:33] | DIM| |0| |10| |     0| csr_instructions             |      | |   14300| |   0x388|
[2022-08-30 11:49:38] | DIM| |0| |10| |     0| dhrystone                    |      | |  327127| |   0xb04|
[2022-08-30 11:49:42] | DIM| |0| |10| |     0| fibonacci                    |      | |  109679| |   0x3e4|
[2022-08-30 11:49:47] | DIM| |0| |10| |     0| hello-world                  |      | |   22486| |   0x420|
[2022-08-30 11:49:51] | DIM| |0| |10| |     0| load_store_rs1_zero          |      | |      74| |   0x160|
[2022-08-30 11:50:02] | DIM| |0| |11| |     0| csr_instr_asm                |      | |    8244| |  0x611c|
[2022-08-30 11:50:06] | DIM| |0| |11| |     0| csr_instructions             |      | |   13985| |   0x388|
[2022-08-30 11:50:11] | DIM| |0| |11| |     0| dhrystone                    |      | |  312333| |   0xb04|
[2022-08-30 11:50:16] | DIM| |0| |11| |     0| fibonacci                    |      | |  102128| |   0x3e4|
[2022-08-30 11:50:20] | DIM| |0| |11| |     0| hello-world                  |      | |   22015| |   0x420|
[2022-08-30 11:50:23] | DIM| |0| |11| |     0| load_store_rs1_zero          |      | |      71| |   0x160|
[2022-08-30 11:50:36] | DIM| |0| |12| |     0| csr_instr_asm                |      | |    7950| |  0x611c|
[2022-08-30 11:50:40] | DIM| |0| |12| |     0| csr_instructions             |      | |   13916| |   0x388|
[2022-08-30 11:50:46] | DIM| |0| |12| |     0| dhrystone                    |      | |  310796| |   0xb04|
-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 11:50:51] | DIM| |0| |12| |     0| fibonacci                    |      | |  101840| |   0x3e4|
[2022-08-30 11:50:55] | DIM| |0| |12| |     0| hello-world                  |      | |   21912| |   0x420|
[2022-08-30 11:50:59] | DIM| |0| |12| |     0| load_store_rs1_zero          |      | |      69| |   0x160|
[2022-08-30 11:51:10] | DIM| |0| |13| |     0| csr_instr_asm                |      | |    7729| |  0x611c|
[2022-08-30 11:51:14] | DIM| |0| |13| |     0| csr_instructions             |      | |   13864| |   0x388|
[2022-08-30 11:51:19] | DIM| |0| |13| |     0| dhrystone                    |      | |  310104| |   0xb04|
[2022-08-30 11:51:24] | DIM| |0| |13| |     0| fibonacci                    |      | |  101472| |   0x3e4|
[2022-08-30 11:51:28] | DIM| |0| |13| |     0| hello-world                  |      | |   21830| |   0x420|
[2022-08-30 11:51:31] | DIM| |0| |13| |     0| load_store_rs1_zero          |      | |      69| |   0x160|
[2022-08-30 11:51:42] | DIM| |0| |14| |     0| csr_instr_asm                |      | |    7558| |  0x611c|
[2022-08-30 11:51:46] | DIM| |0| |14| |     0| csr_instructions             |      | |   13647| |   0x388|
[2022-08-30 11:51:52] | DIM| |0| |14| |     0| dhrystone                    |      | |  308858| |   0xb04|
[2022-08-30 11:51:57] | DIM| |0| |14| |     0| fibonacci                    |      | |  101162| |   0x3e4|
[2022-08-30 11:52:01] | DIM| |0| |14| |     0| hello-world                  |      | |   21411| |   0x420|
[2022-08-30 11:52:06] | DIM| |0| |14| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:52:18] | DIM| |0| |15| |     0| csr_instr_asm                |      | |    7420| |  0x611c|
[2022-08-30 11:52:23] | DIM| |0| |15| |     0| csr_instructions             |      | |   13586| |   0x388|
[2022-08-30 11:52:29] | DIM| |0| |15| |     0| dhrystone                    |      | |  308081| |   0xb04|
[2022-08-30 11:52:34] | DIM| |0| |15| |     0| fibonacci                    |      | |  100915| |   0x3e4|
[2022-08-30 11:52:39] | DIM| |0| |15| |     0| hello-world                  |      | |   21317| |   0x420|
[2022-08-30 11:52:43] | DIM| |0| |15| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:52:57] | DIM| |0| |16| |     0| csr_instr_asm                |      | |    7308| |  0x611c|
[2022-08-30 11:53:02] | DIM| |0| |16| |     0| csr_instructions             |      | |   13534| |   0x388|
[2022-08-30 11:53:09] | DIM| |0| |16| |     0| dhrystone                    |      | |  307770| |   0xb04|
